lambda_nm	Fp	T	eta	Ploss
848	11.9294	0.423707	0.0355179	11.5057
850	12.3531	0.424417	0.034357	11.9287
852	12.7803	0.425113	0.0332632	12.3552
854	13.2085	0.425793	0.0322363	12.7827
856	13.6355	0.426454	0.0312753	13.209
858	14.059	0.427094	0.0303788	13.6319
860	14.4766	0.427713	0.0295451	14.0489
862	14.8862	0.428307	0.0287721	14.4579
864	15.2855	0.428875	0.0280576	14.8566
866	15.6724	0.429416	0.0273995	15.243
868	16.0448	0.429927	0.0267954	15.6149
870	16.4007	0.430409	0.0262433	15.9703
872	16.7382	0.43086	0.0257411	16.3074
874	17.0555	0.431278	0.0252867	16.6242
876	17.3509	0.431663	0.0248784	16.9192
878	17.6227	0.432014	0.0245146	17.1907
880	17.8695	0.43233	0.0241937	17.4372
882	18.0899	0.432611	0.0239145	17.6573
884	18.2827	0.432857	0.0236757	17.8499
886	18.4469	0.433068	0.0234765	18.0138
888	18.5813	0.433242	0.0233161	18.1481
890	18.6853	0.433382	0.0231938	18.2519
892	18.7581	0.433486	0.0231093	18.3246
894	18.7992	0.433556	0.0230624	18.3657
896	18.8083	0.433592	0.0230532	18.3747
898	18.7852	0.433594	0.0230818	18.3516
900	18.7296	0.433564	0.0231486	18.2961
