lambda_nm	Fp	T	eta	Ploss
876	18.0298	5.35182	0.296832	12.6779
878	17.6713	5.32298	0.301222	12.3483
880	17.3861	5.29144	0.304349	12.0947
882	17.19	5.25815	0.305884	11.9319
884	17.0931	5.22418	0.30563	11.869
886	17.0995	5.19065	0.303555	11.9089
888	17.2069	5.15863	0.2998	12.0483
890	17.4069	5.12914	0.294661	12.2777
892	17.6856	5.10301	0.28854	12.5826
894	18.0247	5.0809	0.281885	12.9438
896	18.4024	5.06324	0.27514	13.3391
898	18.7947	5.05018	0.268702	13.7445
900	19.1771	5.04164	0.262899	14.1354
