lambda_nm	Fp	T	eta	Ploss
500	10.7072	0.956786	0.0893594	9.75037
502	11.0732	0.952618	0.0860295	10.1205
504	11.3668	0.945072	0.0831433	10.4217
506	11.5838	0.932406	0.0804925	10.6514
508	11.7444	0.914625	0.0778778	10.8297
510	11.8849	0.893389	0.0751701	10.9915
512	12.0444	0.871395	0.0723485	11.173
514	12.2507	0.851447	0.0695017	11.3993
516	12.511	0.835549	0.0667852	11.6754
518	12.8091	0.824287	0.0643517	11.9848
520	13.111	0.816687	0.0622901	12.2943
522	13.3757	0.810556	0.0605993	12.5651
524	13.5679	0.803179	0.059197	12.7647
526	13.6697	0.792157	0.0579497	12.8776
528	13.6863	0.776113	0.0567074	12.9102
530	13.6446	0.755081	0.0553392	12.8895
532	13.5867	0.730474	0.0537638	12.8563
534	13.5581	0.704661	0.0519734	12.8534
536	13.5955	0.680283	0.0500374	12.9152
538	13.7177	0.659519	0.0480781	13.0581
540	13.9211	0.643498	0.0462246	13.2776
542	14.1823	0.632022	0.0445641	13.5503
544	14.4654	0.623666	0.0431144	13.8417
546	14.7333	0.616224	0.0418251	14.1171
548	14.9599	0.607374	0.0406001	14.3525
550	15.1384	0.595386	0.0393294	14.5431
552	15.2862	0.579689	0.0379223	14.7066
554	15.4426	0.561151	0.0363377	14.8815
556	15.6617	0.541997	0.0346066	15.1197
558	16.001	0.525392	0.032835	15.4756
560	16.5098	0.514786	0.0311807	15.995
562	17.2188	0.513187	0.0298039	16.7056
564	18.1346	0.522549	0.0288149	17.6121
566	19.2401	0.543437	0.0282451	18.6966
568	20.5005	0.575082	0.028052	19.9255
570	21.8757	0.615844	0.028152	21.2599
572	23.3331	0.664014	0.028458	22.6691
574	24.8618	0.71883	0.028913	24.143
576	26.4825	0.781487	0.0295095	25.7011
578	28.2516	0.855942	0.0302971	27.3957
580	30.2579	0.949328	0.0313745	29.3086
582	32.6124	1.07183	0.0328657	31.5406
584	35.4314	1.236	0.0348844	34.1954
586	38.8158	1.45552	0.0374981	37.3603
588	42.8305	1.74358	0.0407088	41.0869
590	47.4854	2.11106	0.044457	45.3744
592	52.7232	2.56476	0.0486457	50.1584
594	58.4136	3.10587	0.0531704	55.3077
596	64.3583	3.72903	0.0579418	60.6293
598	70.3033	4.42193	0.062898	65.8813
600	75.9589	5.16572	0.0680068	70.7932
602	81.0257	5.93606	0.0732615	75.0896
604	85.221	6.70482	0.0786757	78.5161
606	88.3051	7.44216	0.0842778	80.863
608	90.1033	8.11881	0.0901056	81.9845
610	90.5207	8.70837	0.0962032	81.8123
612	89.5494	9.18927	0.102617	80.3601
614	87.2673	9.5463	0.109391	77.721
616	83.8284	9.77156	0.116566	74.0568
618	79.4465	9.86478	0.124169	69.5817
620	74.3751	9.83288	0.132207	64.5422
622	68.8842	9.68907	0.140657	59.1951
624	63.2381	9.45144	0.149458	53.7867
626	57.6756	9.14124	0.158494	48.5343
628	52.3942	8.78109	0.167597	43.6131
630	47.5406	8.39322	0.176548	39.1474
632	43.2061	7.99791	0.185111	35.2082
634	39.4282	7.61233	0.193068	31.8158
636	36.1967	7.24968	0.200286	28.947
638	33.4639	6.91889	0.206757	26.545
640	31.156	6.62458	0.212626	24.5315
642	29.1863	6.36755	0.218169	22.8187
644	27.4661	6.14541	0.223745	21.3207
646	25.9152	5.95344	0.229728	19.9618
648	24.4688	5.78557	0.236447	18.6833
650	23.0816	5.63521	0.244143	17.4464
652	21.7288	5.49612	0.252942	16.2327
654	20.4047	5.36297	0.262831	15.0417
656	19.1188	5.2318	0.273648	13.887
658	17.8909	5.10022	0.285072	12.7907
660	16.7459	4.96736	0.296632	11.7785
662	15.7077	4.83374	0.307732	10.8739
664	14.7954	4.70097	0.317732	10.0944
666	14.0199	4.5713	0.326058	9.4486
668	13.382	4.44727	0.332331	8.93478
670	12.8726	4.33131	0.336476	8.54127
672	12.4733	4.22541	0.338757	8.24787
674	12.1592	4.13087	0.339731	8.02837
676	11.9018	4.04819	0.340131	7.85365
678	11.672	3.97706	0.340735	7.69492
680	11.443	3.91636	0.342248	7.52669
682	11.1936	3.86442	0.345233	7.32923
684	10.9093	3.81909	0.350078	7.09019
686	10.5834	3.77811	0.356985	6.80527
688	10.2172	3.73921	0.365972	6.47798
690	9.81903	3.70041	0.376861	6.11862
692	9.40262	3.66013	0.389267	5.74249
694	8.98515	3.61734	0.402591	5.36781
696	8.58497	3.57157	0.416026	5.0134
698	8.21943	3.52291	0.428608	4.69651
700	7.9029	3.47197	0.439328	4.43093
702	7.64534	3.41973	0.447296	4.22561
704	7.45132	3.36744	0.451926	4.08388
706	7.31975	3.31645	0.453083	4.00329
708	7.24416	3.26806	0.45113	3.9761
710	7.21361	3.22341	0.446851	3.9902
712	7.21387	3.18336	0.441283	4.03051
714	7.22893	3.1484	0.435528	4.08053
716	7.24268	3.11868	0.430598	4.12399
718	7.24035	3.09394	0.427319	4.14641
720	7.20991	3.07359	0.426301	4.13632
722	7.14301	3.05677	0.427939	4.08624
724	7.03562	3.04244	0.432434	3.99318
726	6.88817	3.02948	0.439809	3.85869
728	6.70529	3.01675	0.449906	3.68854
730	6.49522	3.00326	0.46238	3.49196
732	6.26887	2.98816	0.476667	3.28071
734	6.0387	2.97087	0.491973	3.06782
736	5.81753	2.95108	0.507273	2.86645
738	5.61739	2.92874	0.52137	2.68865
740	5.44845	2.9041	0.533013	2.54436
742	5.31819	2.87762	0.541089	2.44057
744	5.23084	2.84995	0.544836	2.38089
746	5.18711	2.82186	0.544015	2.36524
748	5.18425	2.79418	0.538975	2.39007
750	5.21638	2.76771	0.53058	2.44867
752	5.27505	2.74315	0.520025	2.53189
754	5.35001	2.72111	0.508617	2.6289
756	5.4301	2.70197	0.497591	2.72813
758	5.50418	2.68595	0.487984	2.81823
760	5.56195	2.67304	0.480594	2.88891
762	5.5948	2.66304	0.475986	2.93175
764	5.59636	2.65557	0.474517	2.94079
766	5.56299	2.65009	0.476379	2.9129
768	5.49391	2.64598	0.48162	2.84793
770	5.3912	2.64254	0.490159	2.74866
772	5.25958	2.63911	0.501771	2.62047
774	5.10595	2.63502	0.516069	2.47093
776	4.93884	2.62973	0.53246	2.30911
778	4.76772	2.6228	0.550117	2.14491
780	4.6023	2.61394	0.567963	1.98837
782	4.45184	2.603	0.584702	1.84884
784	4.32448	2.59003	0.598924	1.73445
786	4.22668	2.57521	0.609274	1.65147
788	4.16284	2.55884	0.614686	1.604
790	4.13501	2.54135	0.614594	1.59366
792	4.14283	2.52324	0.609063	1.61958
794	4.18358	2.50506	0.598785	1.67851
796	4.25243	2.48736	0.584927	1.76507
798	4.34279	2.47064	0.568907	1.87215
800	4.44679	2.45538	0.552168	1.99142
802	4.55581	2.44193	0.536003	2.11388
804	4.66104	2.43055	0.521461	2.23049
806	4.75407	2.4214	0.509332	2.33267
808	4.82737	2.41448	0.500164	2.4129
810	4.87479	2.40968	0.494314	2.46512
812	4.89187	2.40678	0.491995	2.48509
814	4.8761	2.40546	0.493316	2.47064
816	4.82705	2.40533	0.498303	2.42171
818	4.7463	2.40595	0.506909	2.34036
820	4.63739	2.40683	0.519006	2.23056
822	4.50549	2.40753	0.534354	2.09796
824	4.35713	2.40759	0.552563	1.94954
826	4.19977	2.40663	0.573039	1.79314
828	4.04134	2.40434	0.594936	1.637
830	3.88982	2.40048	0.617119	1.48934
832	3.75274	2.39492	0.638178	1.35782
834	3.63683	2.38762	0.656512	1.24921
836	3.54759	2.37865	0.670498	1.16894
838	3.48906	2.36817	0.67874	1.12089
840	3.46361	2.3564	0.680332	1.1072
842	3.47183	2.34367	0.675054	1.12816
844	3.51254	2.33033	0.663431	1.18221
846	3.58287	2.31675	0.646618	1.26612
848	3.67846	2.30334	0.626171	1.37511
850	3.79366	2.29049	0.603768	1.50317
852	3.9219	2.27855	0.58098	1.64335
854	4.056	2.26783	0.559129	1.78817
856	4.18854	2.25858	0.539228	1.92996
858	4.31227	2.25099	0.521996	2.06128
860	4.42041	2.24515	0.507905	2.17526
862	4.50704	2.2411	0.497244	2.26594
864	4.56731	2.23877	0.490172	2.32854
866	4.59771	2.23803	0.48677	2.35968
868	4.5962	2.23869	0.487073	2.35751
870	4.56226	2.24048	0.49109	2.32178
872	4.49693	2.24311	0.498809	2.25382
874	4.40272	2.24625	0.510195	2.15647
876	4.28347	2.24954	0.525169	2.03392
878	4.14415	2.25266	0.543575	1.89149
880	3.99065	2.25526	0.565136	1.73539
882	3.82946	2.25705	0.589392	1.5724
884	3.66739	2.25778	0.615636	1.40961
886	3.51128	2.25723	0.642851	1.25405
888	3.36766	2.25526	0.669683	1.11239
890	3.2425	2.25179	0.694462	0.990705
892	3.14095	2.2468	0.715325	0.894152
894	3.06715	2.24034	0.730431	0.826807
896	3.02401	2.23252	0.738264	0.791491
898	3.01316	2.2235	0.737928	0.789667
900	3.03489	2.2135	0.729348	0.821399
