lambda_nm	Fp	T	eta	Ploss
750	13.8856	0.222862	0.0160498	13.6628
752	13.8069	0.223329	0.0161752	13.5835
754	13.7331	0.223804	0.0162968	13.5093
756	13.6645	0.224289	0.016414	13.4402
758	13.6013	0.224785	0.0165267	13.3765
760	13.5437	0.225293	0.0166345	13.3184
762	13.4918	0.225815	0.0167372	13.266
764	13.4457	0.226352	0.0168345	13.2194
766	13.4056	0.226905	0.0169262	13.1787
768	13.3714	0.227475	0.017012	13.1439
770	13.3432	0.228061	0.0170919	13.1151
772	13.3209	0.228663	0.0171657	13.0922
774	13.3045	0.229283	0.0172335	13.0752
776	13.2937	0.229918	0.0172953	13.0638
778	13.2885	0.230569	0.017351	13.058
780	13.2887	0.231235	0.0174009	13.0575
782	13.294	0.231914	0.017445	13.0621
784	13.3041	0.232606	0.0174837	13.0715
786	13.3188	0.233309	0.0175172	13.0855
788	13.3377	0.234021	0.0175458	13.1037
790	13.3604	0.234741	0.0175699	13.1257
792	13.3866	0.235467	0.0175898	13.1511
794	13.4158	0.236198	0.0176059	13.1796
796	13.4477	0.236931	0.0176187	13.2107
798	13.4817	0.237664	0.0176286	13.244
800	13.5174	0.238395	0.0176361	13.279
802	13.5544	0.239122	0.0176416	13.3153
804	13.5922	0.239843	0.0176456	13.3524
806	13.6304	0.240557	0.0176486	13.3898
808	13.6684	0.24126	0.0176509	13.4272
810	13.7059	0.241951	0.0176531	13.4639
812	13.7424	0.242628	0.0176555	13.4998
814	13.7775	0.24329	0.0176585	13.5342
816	13.8107	0.243934	0.0176626	13.5668
818	13.8418	0.244559	0.0176681	13.5973
820	13.8704	0.245164	0.0176753	13.6252
822	13.8961	0.245746	0.0176845	13.6503
824	13.9186	0.246305	0.0176961	13.6723
826	13.9378	0.24684	0.0177102	13.6909
828	13.9533	0.24735	0.017727	13.706
830	13.965	0.247834	0.0177468	13.7172
832	13.9727	0.248292	0.0177698	13.7244
834	13.9763	0.248722	0.0177959	13.7276
836	13.9758	0.249125	0.0178255	13.7267
838	13.9711	0.249501	0.0178584	13.7216
840	13.9622	0.24985	0.0178948	13.7123
842	13.9491	0.250171	0.0179346	13.6989
844	13.9319	0.250466	0.0179778	13.6815
846	13.9108	0.250735	0.0180244	13.6601
848	13.886	0.250978	0.0180742	13.635
850	13.8575	0.251197	0.0181272	13.6063
852	13.8256	0.251392	0.0181831	13.5742
854	13.7906	0.251565	0.0182417	13.5391
856	13.7528	0.251717	0.0183029	13.5011
858	13.7125	0.251849	0.0183663	13.4607
860	13.67	0.251962	0.0184317	13.4181
862	13.6257	0.252059	0.0184988	13.3737
864	13.58	0.252141	0.0185671	13.3279
866	13.5332	0.252208	0.0186362	13.281
868	13.4859	0.252265	0.0187058	13.2336
870	13.4384	0.252311	0.0187754	13.1861
872	13.3911	0.252349	0.0188445	13.1387
874	13.3445	0.25238	0.0189127	13.0922
876	13.2991	0.252408	0.0189793	13.0467
878	13.2553	0.252433	0.0190439	13.0029
880	13.2136	0.252457	0.0191059	12.9611
882	13.1743	0.252482	0.0191647	12.9218
884	13.1379	0.25251	0.0192199	12.8854
886	13.1049	0.252543	0.0192709	12.8523
888	13.0756	0.252582	0.019317	12.823
890	13.0505	0.252629	0.0193579	12.7978
892	13.0298	0.252686	0.0193929	12.7771
894	13.014	0.252754	0.0194217	12.7612
896	13.0034	0.252835	0.0194438	12.7505
898	12.9982	0.25293	0.0194588	12.7453
900	12.9988	0.253039	0.0194663	12.7458
