lambda_nm	Fp	T	eta	Ploss
500	6424.7	3.91909	0.000610005	6420.78
502	6606.61	3.96181	0.000599673	6602.65
504	6768.18	3.9782	0.00058778	6764.21
506	6906.18	3.95794	0.000573102	6902.22
508	7018.53	3.91068	0.000557193	7014.62
510	7104.25	3.85965	0.000543287	7100.39
512	7162.94	3.82851	0.00053449	7159.11
514	7194.35	3.8286	0.000532167	7190.52
516	7198.18	3.8533	0.000535316	7194.33
518	7174.1	3.88216	0.000541136	7170.21
520	7122.11	3.89221	0.000546497	7118.21
522	7042.99	3.87055	0.00054956	7039.12
524	6938.56	3.82194	0.000550826	6934.74
526	6811.69	3.76779	0.000553136	6807.92
528	6665.98	3.73711	0.000560624	6662.25
530	6505.31	3.75407	0.000577078	6501.56
532	6333.33	3.82803	0.000604426	6329.5
534	6153.16	3.95071	0.000642063	6149.21
536	5967.35	4.10191	0.000687393	5963.25
538	5778.02	4.26093	0.000737437	5773.76
540	5587.09	4.41876	0.000790887	5582.67
542	5396.46	4.58543	0.000849711	5391.87
544	5208.06	4.78925	0.000919585	5203.27
546	5023.69	5.06807	0.00100883	5018.62
548	4844.82	5.45637	0.00112623	4839.37
550	4672.34	5.97354	0.00127849	4666.37
552	4506.52	6.61871	0.0014687	4499.9
554	4347.14	7.3747	0.00169645	4339.76
556	4193.84	8.22018	0.00196006	4185.62
558	4046.5	9.14574	0.00226016	4037.35
560	3905.56	10.1679	0.00260343	3895.4
562	3772.19	11.3352	0.00300493	3760.85
564	3648.12	12.7241	0.00348786	3635.39
566	3535.35	14.4252	0.00408028	3520.92
568	3435.64	16.524	0.00480957	3419.12
570	3350.15	19.0843	0.00569657	3331.06
572	3279.15	22.141	0.00675206	3257.01
574	3222.16	25.7052	0.00797763	3196.45
576	3178.31	29.7847	0.00937124	3148.52
578	3146.87	34.413	0.0109356	3112.46
580	3127.86	39.6798	0.0126859	3088.18
582	3122.44	45.7526	0.0146528	3076.69
584	3132.96	52.8795	0.0168785	3080.08
586	3162.57	61.3686	0.0194047	3101.2
588	3214.48	71.5425	0.0222563	3142.94
590	3290.92	83.6743	0.0254258	3207.24
592	3392.05	97.9163	0.0288664	3294.13
594	3515.16	114.233	0.0324973	3400.93
596	3654.22	132.357	0.0362204	3521.86
598	3800	151.771	0.0399398	3648.23
600	3940.83	171.731	0.0435772	3769.1
602	4063.83	191.322	0.0470792	3872.5
604	4156.37	209.547	0.0504159	3946.82
606	4207.7	225.43	0.0535756	3982.27
608	4210.28	238.12	0.0565567	3972.16
610	4160.67	246.98	0.0593607	3913.69
612	4059.86	251.658	0.0619868	3808.21
614	3913.07	252.11	0.0644276	3660.96
616	3728.86	248.593	0.0666674	3480.27
618	3518.02	241.625	0.0686821	3276.4
620	3292.19	231.909	0.0704423	3060.28
622	3062.51	220.252	0.0719189	2842.25
624	2838.55	207.472	0.073091	2631.08
626	2627.57	194.324	0.0739558	2433.25
628	2434.19	181.434	0.0745359	2252.75
630	2260.42	169.264	0.0748819	2091.15
632	2106.11	158.099	0.075067	1948.01
634	1969.56	148.06	0.0751742	1821.5
636	1848.15	139.129	0.0752802	1709.02
638	1739.08	131.195	0.0754396	1607.88
640	1639.79	124.093	0.0756758	1515.7
642	1548.37	117.644	0.0759789	1430.73
644	1463.62	111.689	0.0763104	1351.93
646	1385.01	106.111	0.0766136	1278.9
648	1312.52	100.836	0.0768265	1211.68
650	1246.34	95.8398	0.0768967	1150.5
652	1186.69	91.1306	0.0767942	1095.56
654	1133.54	86.7382	0.0765199	1046.8
656	1086.58	82.6963	0.0761072	1003.88
658	1045.15	79.0299	0.0756159	966.118
660	1008.33	75.7451	0.0751196	932.582
662	975.051	72.8257	0.0746891	902.225
664	944.264	70.2336	0.0743792	874.031
666	915.068	67.9147	0.0742182	847.153
668	886.822	65.8063	0.0742046	821.016
670	859.202	63.8465	0.0743091	795.356
672	832.193	61.9817	0.0744799	770.211
674	806.029	60.1728	0.0746533	745.856
676	781.1	58.398	0.0747638	722.702
678	757.836	56.6531	0.0747564	701.183
680	736.604	54.9483	0.0745968	681.656
682	717.618	53.3037	0.0742786	664.314
684	700.893	51.7433	0.0738249	649.149
686	686.237	50.2898	0.0732835	635.947
688	673.284	48.9595	0.0727175	624.324
690	661.55	47.7592	0.0721928	613.791
692	650.517	46.685	0.071766	603.832
694	639.705	45.7233	0.0714755	593.982
696	628.749	44.8526	0.0713362	583.896
698	617.437	44.0471	0.0713386	573.39
700	605.737	43.2805	0.071451	562.456
702	593.776	42.5294	0.0716254	551.247
704	581.814	41.7763	0.0718036	540.038
706	570.183	41.0113	0.0719265	529.172
708	559.23	40.2326	0.0719428	518.997
710	549.252	39.4459	0.0718175	509.806
712	540.455	38.6628	0.0715375	501.792
714	532.916	37.8982	0.0711148	495.017
716	526.575	37.1676	0.0705836	489.407
718	521.25	36.4848	0.0699948	484.766
720	516.663	35.8598	0.0694065	480.803
722	512.483	35.2973	0.068875	477.185
724	508.373	34.796	0.0684459	473.577
726	504.038	34.3496	0.0681488	469.689
728	499.265	33.9471	0.0679941	465.318
730	493.942	33.5747	0.067973	460.367
732	488.074	33.2179	0.0680592	454.856
734	481.773	32.863	0.0682127	448.91
736	475.236	32.4988	0.0683845	442.738
738	468.719	32.1179	0.0685227	436.601
740	462.492	31.7173	0.0685793	430.774
742	456.806	31.2987	0.0685163	425.507
744	451.859	30.8672	0.0683116	420.992
746	447.77	30.4315	0.0679623	417.338
748	444.564	30.0015	0.0674851	414.563
750	442.174	29.5876	0.0669139	412.587
752	440.451	29.1993	0.0662941	411.252
754	439.181	28.8437	0.0656761	410.338
756	438.118	28.525	0.0651079	409.593
758	437.011	28.2439	0.0646296	408.767
760	435.636	27.9978	0.0642689	407.638
762	433.819	27.7813	0.0640389	406.037
764	431.458	27.5864	0.0639377	403.871
766	428.53	27.4042	0.0639492	401.126
768	425.093	27.2252	0.0640453	397.868
770	421.274	27.041	0.0641886	394.233
772	417.253	26.8447	0.0643367	390.408
774	413.241	26.6316	0.0644456	386.61
776	409.457	26.3999	0.0644756	383.057
778	406.097	26.1506	0.0643949	379.946
780	403.319	25.8868	0.0641845	377.432
782	401.223	25.6141	0.0638399	375.609
784	399.843	25.3392	0.0633727	374.504
786	399.143	25.0694	0.0628081	374.074
788	399.023	24.812	0.0621819	374.211
790	399.329	24.573	0.0615357	374.756
792	399.876	24.3572	0.0609118	375.519
794	400.46	24.1671	0.0603483	376.293
796	400.883	24.0031	0.0598756	376.88
798	400.974	23.8637	0.0595144	377.11
800	400.602	23.7452	0.0592737	376.857
802	399.689	23.6423	0.0591516	376.047
804	398.219	23.5489	0.0591355	374.67
806	396.234	23.4585	0.0592036	372.775
808	393.831	23.3647	0.0593268	370.466
810	391.151	23.262	0.0594708	367.889
812	388.364	23.1462	0.0595993	365.218
814	385.654	23.0146	0.0596768	362.64
816	383.2	22.8664	0.0596722	360.334
818	381.159	22.7024	0.0595615	358.456
820	379.652	22.5252	0.0593311	357.127
822	378.758	22.3387	0.058979	356.419
824	378.5	22.1479	0.058515	356.352
826	378.85	21.9581	0.0579599	356.892
828	379.731	21.7747	0.0573426	357.956
830	381.021	21.6028	0.056697	359.419
832	382.572	21.4463	0.0560582	361.125
834	384.212	21.3083	0.0554596	362.904
836	385.771	21.1902	0.0549295	364.581
838	387.088	21.0922	0.0544895	365.995
840	388.026	21.0128	0.0541532	367.013
842	388.483	20.9495	0.0539262	367.534
844	388.403	20.8983	0.0538057	367.505
846	387.771	20.8549	0.0537813	366.917
848	386.624	20.8143	0.0538361	365.81
850	385.039	20.7719	0.0539476	364.267
852	383.129	20.7231	0.054089	362.406
854	381.037	20.6641	0.0542313	360.373
856	378.918	20.5923	0.0543451	358.325
858	376.93	20.506	0.0544026	356.424
860	375.226	20.4047	0.0543799	354.821
862	373.933	20.2894	0.0542595	353.643
864	373.152	20.1619	0.0540314	352.99
866	372.946	20.0253	0.0536948	352.921
868	373.338	19.883	0.0532574	353.455
870	374.308	19.7393	0.0527355	354.568
872	375.795	19.5983	0.0521515	356.197
874	377.706	19.4641	0.0515323	358.242
876	379.917	19.3403	0.0509065	360.577
878	382.287	19.2298	0.050302	363.057
880	384.665	19.1348	0.0497441	365.53
882	386.9	19.0563	0.0492538	367.844
884	388.857	18.9944	0.0488467	369.863
886	390.418	18.9481	0.0485328	371.47
888	391.494	18.9155	0.0483161	372.578
890	392.031	18.8938	0.0481947	373.138
892	392.013	18.8799	0.0481615	373.133
894	391.458	18.87	0.0482045	372.588
896	390.424	18.8604	0.0483075	371.563
898	388.998	18.8473	0.0484508	370.15
900	387.293	18.8273	0.0486125	368.466
