lambda_nm	Fp	T	eta	Ploss
798	175.572	15.1872	0.0865012	160.384
800	175.389	15.1084	0.0861419	160.281
802	174.902	15.0414	0.085999	159.86
804	174.075	14.9813	0.0860623	159.093
806	172.916	14.923	0.086302	157.993
808	171.469	14.8615	0.0866711	156.608
810	169.814	14.7925	0.08711	155.021
812	168.051	14.713	0.0875508	153.338
814	166.293	14.6211	0.0879235	151.672
816	164.656	14.5166	0.0881632	150.139
818	163.242	14.4007	0.0882168	148.842
820	162.134	14.276	0.0880506	147.858
822	161.383	14.1459	0.0876541	147.237
824	161.008	14.0145	0.0870424	146.994
826	160.994	13.8863	0.0862537	147.108
828	161.292	13.7654	0.0853448	147.526
830	161.825	13.6553	0.0843829	148.17
832	162.499	13.5586	0.0834378	148.941
834	163.208	13.4768	0.0825741	149.731
836	163.846	13.41	0.0818456	150.436
838	164.315	13.3574	0.0812913	150.958
840	164.539	13.3168	0.0809337	151.223
842	164.464	13.2851	0.0807784	151.179
844	164.064	13.2588	0.0808148	150.805
846	163.347	13.234	0.0810177	150.113
848	162.347	13.2068	0.081349	149.14
850	161.126	13.1738	0.0817606	147.952
852	159.765	13.1322	0.0821968	146.633
854	158.357	13.0801	0.0825986	145.277
856	157.001	13.0167	0.0829082	143.984
858	155.789	12.942	0.0830738	142.847
860	154.805	12.8574	0.0830555	141.947
862	154.111	12.7648	0.0828289	141.346
864	153.747	12.6671	0.082389	141.08
866	153.728	12.5673	0.0817508	141.16
868	154.04	12.4691	0.0809471	141.571
870	154.646	12.3756	0.0800255	142.27
872	155.485	12.2899	0.079042	143.195
874	156.481	12.2143	0.0780558	144.267
876	157.546	12.1504	0.0771232	145.395
878	158.588	12.0992	0.0762932	146.489
880	159.521	12.0605	0.0756044	147.46
882	160.265	12.0333	0.0750835	148.232
884	160.759	12.0159	0.0747446	148.744
886	160.96	12.0059	0.0745893	148.955
888	160.849	12.0006	0.0746078	148.848
890	160.428	11.9967	0.0747796	148.431
892	159.725	11.9914	0.0750752	147.734
894	158.788	11.9816	0.0754569	146.806
896	157.681	11.965	0.0758813	145.716
898	156.48	11.9396	0.0763011	144.541
900	155.27	11.9042	0.0766679	143.366
