x_nm	-77.5	-72.163	-61.3179	-53.3867	-47.5866	-43.3449	-40.2429	-37.9744	-36	-34.0256	-32.0513	-30.0769	-28.1026	-26.1282	-24.1538	-22.1795	-20.2051	-18.2308	-16.2564	-14.2821	-12.3077	-10.3333	-8.35897	-6.38462	-4.41026	-2.4359	-0.461538	1.51282	3.48718	5.46154	7.4359	9.41026	11.3846	13.359	15.3333	17.3077	19.2821	21.2564	23.2308	25.2051	27.1795	29.1538	31.1282	33.1026	35.0769	37.0513	39.0256	41	42.9744	45.2268	48.3004	52.4942	58.2168	66.0252	76.68	82.5
-80	2891.76	3146.85	3671.84	3960.23	4079.35	4104.64	4087.17	4055.43	4015.12	3963.58	3901.72	3830.96	3751.95	3666.46	3576.24	3483.69	3390.3	3298.3	3209.59	3127.11	3052.41	2987.59	2934.32	2894.01	2868.08	2857.51	2862.87	2884.01	2921.11	2973.7	3040.41	3120.76	3212.57	3314.3	3423.74	3539.19	3657.69	3776.99	3895.11	4009.72	4118.52	4218.81	4310.21	4389.97	4457.8	4511.82	4552.13	4578.09	4589.61	4585.02	4549.27	4450.17	4234.27	3834.79	3203.56	2876.57
-70.1998	4237.72	4750.88	6093.22	7127.53	7811.66	8212.22	8422.25	8520.9	8563.07	8562.85	8514.95	8419.12	8274.92	8083.29	7847.41	7572.3	7266.12	6935.88	6592.25	6247.3	5912.68	5601.28	5324.6	5093.17	4916.87	4803.63	4758.05	4782.85	4878.08	5040	5263.92	5541.86	5864.14	6220.12	6597.09	6982.8	7364.8	7732.6	8076.33	8385.54	8654.92	8878.09	9052.31	9176.2	9249.64	9272.64	9248.83	9182.23	9074.43	8907.53	8614.87	8121.56	7338.5	6205.13	4769.16	4150.92
-54.2134	8388.27	9851.1	14414.2	18841.2	22532.2	25282.1	27187.5	28455	29432.7	30260.9	30905.1	31332.7	31519.3	31444.3	31102.7	30495	29645.3	28584	27363.3	26036.8	24673.9	23344.7	22120.7	21068.4	20243.2	19692.5	19448.8	19527.9	19928.5	20632.3	21605.1	22797.4	24153.6	25603.4	27079.5	28508.5	29827.3	30979.7	31920.5	32616.9	33054.8	33228.5	33146.2	32823.9	32284.3	31555.9	30664	29643.3	28516.8	27135.5	25144.1	22350.3	18650.8	14208.6	9608.14	7941.73
-42.6002	13900.6	17163.8	28373.7	41337.5	54062.8	65022.6	73637.5	80030	85499.2	90723.3	95509.2	99660	102960	105229	106320	106161	104747	102181	98645.8	94391.6	89717.9	84954.1	80431.1	76453.1	73289.6	71149.3	70176.2	70441.4	71941.6	74592.8	78238.3	82656.7	87574.7	92670.9	97622	102106	105818	108527	110079	110405	109530	107544	104601	100877	96549.3	91789.6	86738.2	81522.7	76244.3	70248.8	62270.8	52092	40048.9	27470.7	16443.2	12885.3
-34.1639	19710.3	25561	46948.7	75516.6	107625	138758	165741	187394	207182	227385	247317	266133	282824	296362	305790	310445	310082	304925	295639	283240	268915	253925	239478	226685	216464	209533	206368	207206	212032	220579	232323	246504	262166	278146	293205	306043	315462	320531	320676	315890	306640	293764	278266	261108	243129	224937	206942	189400	172491	154130	130902	103129	73087.9	45343.3	24345.8	18112.5
-28.0354	24848.5	33615.9	67212.4	117664	181265	249662	314308	369898	423679	481669	542291	603025	660402	710155	747815	769833	774779	763503	738672	704088	663814	621805	581593	546230	518148	499182	490539	492810	505965	529338	561650	600962	644729	689726	732203	767910	792467	801999	794145	769129	730011	681341	627790	573136	519961	469504	422174	377847	336366	292455	238579	177203	116014	65666	32159.9	22825
-23.5835	28895.7	40401.3	86147	161397	265594	388074	513175	627769	744654	877325	1.02366e+06	1.17868e+06	1.33336e+06	1.47421e+06	1.5842e+06	1.64792e+06	1.66036e+06	1.62738e+06	1.55992e+06	1.47014e+06	1.36934e+06	1.26708e+06	1.17144e+06	1.08871e+06	1.02376e+06	980221	960426	965470	995370	1.04889e+06	1.12361e+06	1.21587e+06	1.32054e+06	1.43096e+06	1.5386e+06	1.63281e+06	1.70042e+06	1.72679e+06	1.69977e+06	1.61884e+06	1.49889e+06	1.35954e+06	1.21702e+06	1.08215e+06	960032	851210	753338	663701	580504	492914	386941	271104	164640	85985.7	39056.8	26631.3
-20.3494	31876	45659.3	102011	201226	348998	535788	739696	937314	1.14889e+06	1.40086e+06	1.69358e+06	2.02141e+06	2.36816e+06	2.70135e+06	2.96668e+06	3.10079e+06	3.09776e+06	2.99417e+06	2.82586e+06	2.62246e+06	2.40701e+06	2.19714e+06	2.00617e+06	1.84422e+06	1.71885e+06	1.63544e+06	1.59753e+06	1.60682e+06	1.66334e+06	1.76539e+06	1.9094e+06	2.09013e+06	2.29975e+06	2.52822e+06	2.76164e+06	2.9812e+06	3.15905e+06	3.25222e+06	3.20296e+06	2.99453e+06	2.69367e+06	2.36745e+06	2.05834e+06	1.78764e+06	1.56106e+06	1.37171e+06	1.20646e+06	1.05413e+06	909993	756233	571232	377817	214174	104468	44682.6	29501.9
-18	33994.7	49538.6	114403	234369	423060	675408	966140	1.26161e+06	1.5916e+06	2.00199e+06	2.50226e+06	3.09383e+06	3.76062e+06	4.44853e+06	5.01774e+06	5.21168e+06	5.08569e+06	4.80979e+06	4.45559e+06	4.06934e+06	3.68386e+06	3.32224e+06	3.00153e+06	2.73435e+06	2.52989e+06	2.39484e+06	2.33346e+06	2.34794e+06	2.43842e+06	2.60289e+06	2.8371e+06	3.13465e+06	3.48656e+06	3.88094e+06	4.30225e+06	4.73024e+06	5.13277e+06	5.43414e+06	5.40967e+06	4.94052e+06	4.29549e+06	3.65251e+06	3.08905e+06	2.63343e+06	2.28402e+06	2.01187e+06	1.77582e+06	1.54761e+06	1.32134e+06	1.07444e+06	780251	488399	260594	120147	49033.9	31583.5
-16	35731.5	52806.1	125312	265018	495249	818774	1.21014e+06	1.62603e+06	2.10996e+06	2.73836e+06	3.54352e+06	4.55432e+06	5.78755e+06	7.21409e+06	8.55416e+06	8.55769e+06	7.89019e+06	7.23767e+06	6.57242e+06	5.91355e+06	5.29031e+06	4.72422e+06	4.23319e+06	3.83001e+06	3.52453e+06	3.3238e+06	3.23278e+06	3.25378e+06	3.38689e+06	3.63002e+06	3.97859e+06	4.42528e+06	4.9605e+06	5.57235e+06	6.24747e+06	6.98304e+06	7.80736e+06	8.78238e+06	9.02601e+06	7.91008e+06	6.56603e+06	5.37493e+06	4.41831e+06	3.71304e+06	3.23538e+06	2.90116e+06	2.59708e+06	2.26284e+06	1.90446e+06	1.50536e+06	1.04278e+06	614954	308941	135074	52861.5	33319
