lambda_nm	Fp	T	eta	Ploss
876	68.07	11.9583	0.175676	56.1117
878	67.7969	11.8695	0.175074	55.9274
880	67.8525	11.776	0.173553	56.0765
882	68.2059	11.6818	0.171272	56.5241
884	68.7915	11.5909	0.168494	57.2005
886	69.5174	11.5072	0.16553	58.0102
888	70.277	11.4335	0.162693	58.8435
890	70.9616	11.372	0.160255	59.5896
892	71.4726	11.3231	0.158425	60.1496
894	71.7332	11.2863	0.157337	60.4469
896	71.6962	11.2596	0.157046	60.4365
898	71.3491	11.2403	0.157539	60.1088
900	70.7149	11.2248	0.158733	59.4902
