path_idx,type,color,width,vx,vy
0,f,,,0.0000,0.0000
0,f,,,677.0000,0.0000
0,f,,,677.0000,426.0000
0,f,,,0.0000,426.0000
1,s,0.7490|0.7490|0.7490,0.7142860293388367,38.5586,383.3984
1,s,0.7490|0.7490|0.7490,0.7142860293388367,38.5586,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,115.6719,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,192.7852,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,269.8984,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,348.0156,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,425.1289,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,502.2383,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,579.3516,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,383.3984
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,350.3203
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,317.2422
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,284.1641
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,251.0898
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,218.0117
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,184.9336
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,151.8594
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,118.7812
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,85.7031
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,52.6250
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,19.5508
2,s,0.3922|0.7098|0.9647,2.142859935760498,657.4688,365.2148
2,s,0.3922|0.7098|0.9647,2.142859935760498,656.3516,365.2852
2,s,0.3922|0.7098|0.9647,2.142859935760498,655.2422,365.3555
2,s,0.3922|0.7098|0.9647,2.142859935760498,654.1289,365.4297
2,s,0.3922|0.7098|0.9647,2.142859935760498,653.0195,365.5039
2,s,0.3922|0.7098|0.9647,2.142859935760498,651.9141,365.5820
2,s,0.3922|0.7098|0.9647,2.142859935760498,650.8086,365.6562
2,s,0.3922|0.7098|0.9647,2.142859935760498,649.7031,365.7305
2,s,0.3922|0.7098|0.9647,2.142859935760498,648.6016,365.8086
2,s,0.3922|0.7098|0.9647,2.142859935760498,647.5039,365.8789
2,s,0.3922|0.7098|0.9647,2.142859935760498,646.4062,365.9531
2,s,0.3922|0.7098|0.9647,2.142859935760498,645.3086,366.0195
2,s,0.3922|0.7098|0.9647,2.142859935760498,644.2148,366.0859
2,s,0.3922|0.7098|0.9647,2.142859935760498,643.1211,366.1484
2,s,0.3922|0.7098|0.9647,2.142859935760498,642.0273,366.2070
2,s,0.3922|0.7098|0.9647,2.142859935760498,640.9375,366.2617
2,s,0.3922|0.7098|0.9647,2.142859935760498,639.8516,366.3086
2,s,0.3922|0.7098|0.9647,2.142859935760498,638.7656,366.3555
2,s,0.3922|0.7098|0.9647,2.142859935760498,637.6797,366.3906
2,s,0.3922|0.7098|0.9647,2.142859935760498,636.5977,366.4258
2,s,0.3922|0.7098|0.9647,2.142859935760498,635.5156,366.4531
2,s,0.3922|0.7098|0.9647,2.142859935760498,634.4375,366.4727
2,s,0.3922|0.7098|0.9647,2.142859935760498,633.3594,366.4883
2,s,0.3922|0.7098|0.9647,2.142859935760498,632.2812,366.4961
2,s,0.3922|0.7098|0.9647,2.142859935760498,631.2070,366.4961
2,s,0.3922|0.7098|0.9647,2.142859935760498,630.1367,366.4922
