path_idx,type,color,width,vx,vy
0,f,,,0.0000,0.0000
0,f,,,677.0000,0.0000
0,f,,,677.0000,426.0000
0,f,,,0.0000,426.0000
1,s,0.7490|0.7490|0.7490,0.7142860293388367,32.5508,384.3984
1,s,0.7490|0.7490|0.7490,0.7142860293388367,32.5508,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,110.6680,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,188.7812,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,266.8945,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,345.0078,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,423.1250,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,501.2383,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,579.3516,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,19.5508
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,384.3984
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,339.2930
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,293.1875
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,248.0820
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,201.9727
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,156.8711
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,110.7617
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,65.6562
1,s,0.7490|0.7490|0.7490,0.7142860293388367,657.4688,19.5508
2,s,0.3922|0.7098|0.9647,2.142859935760498,657.4688,358.1172
2,s,0.3922|0.7098|0.9647,2.142859935760498,600.6562,355.5664
2,s,0.3922|0.7098|0.9647,2.142859935760498,548.2578,353.2852
2,s,0.3922|0.7098|0.9647,2.142859935760498,499.7773,350.9570
2,s,0.3922|0.7098|0.9647,2.142859935760498,454.7930,346.8477
2,s,0.3922|0.7098|0.9647,2.142859935760498,412.9336,340.9570
2,s,0.3922|0.7098|0.9647,2.142859935760498,373.8906,333.8008
2,s,0.3922|0.7098|0.9647,2.142859935760498,337.3867,322.5586
2,s,0.3922|0.7098|0.9647,2.142859935760498,303.1836,301.6758
2,s,0.3922|0.7098|0.9647,2.142859935760498,271.0703,263.3320
2,s,0.3922|0.7098|0.9647,2.142859935760498,240.8555,183.8281
2,s,0.3922|0.7098|0.9647,2.142859935760498,212.3828,57.3516
2,s,0.3922|0.7098|0.9647,2.142859935760498,185.5039,191.2188
2,s,0.3922|0.7098|0.9647,2.142859935760498,160.0859,328.9805
2,s,0.3922|0.7098|0.9647,2.142859935760498,136.0156,366.3164
2,s,0.3922|0.7098|0.9647,2.142859935760498,113.1875,375.9570
2,s,0.3922|0.7098|0.9647,2.142859935760498,91.5078,378.3789
2,s,0.3922|0.7098|0.9647,2.142859935760498,70.8906,378.8750
2,s,0.3922|0.7098|0.9647,2.142859935760498,51.2617,378.8281
2,s,0.3922|0.7098|0.9647,2.142859935760498,32.5508,378.6406
3,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,384.3984
3,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,19.5508
3,s,0.0000|0.0000|0.0000,0.7142860293388367,32.5508,384.3984
4,f,,,22.5200,386.4000
4,f,,,20.7200,385.3600
4,f,,,20.0700,382.3700
4,f,,,20.7200,379.4200
4,f,,,22.5200,378.4000
4,f,,,24.3300,379.4200
4,f,,,24.9800,382.3700
4,f,,,24.3300,385.3600
4,f,,,22.5200,386.4000
4,f,,,23.1300,385.2300
4,f,,,23.6000,384.6800
4,f,,,23.9100,383.7400
4,f,,,24.0100,382.3800
4,f,,,23.9100,381.0200
