x_nm	-77.5	-72.163	-61.3179	-53.3867	-47.5866	-43.3449	-40.2429	-37.9744	-36	-34.0256	-32.0513	-30.0769	-28.1026	-26.1282	-24.1538	-22.1795	-20.2051	-18.2308	-16.2564	-14.2821	-12.3077	-10.3333	-8.35897	-6.38462	-4.41026	-2.4359	-0.461538	1.51282	3.48718	5.46154	7.4359	9.41026	11.3846	13.359	15.3333	17.3077	19.2821	21.2564	23.2308	25.2051	27.1795	29.1538	31.1282	33.1026	35.0769	37.0513	39.0256	41	42.9744	45.2268	48.3004	52.4942	58.2168	66.0252	76.68	82.5
-80	2.2529	2.59581	3.52403	4.53399	5.53565	6.45604	7.25533	7.9136	8.55189	9.24983	10.0164	10.8494	11.7753	12.7816	13.8805	15.0865	16.4106	17.8422	19.4144	21.1226	22.975	24.9736	27.1454	29.4791	31.983	34.6684	37.5083	40.5389	43.7154	47.0501	50.521	54.1014	57.7725	61.5317	65.2549	69.0086	72.6741	76.248	79.6373	82.809	85.7514	88.3455	90.5972	92.4271	93.8464	94.8151	95.3159	95.2996	94.8734	93.7959	91.4219	86.6595	77.974	63.9745	45.1693	37.3121
-70.1998	2.41064	2.80456	3.87838	5.07468	6.2838	7.41483	8.41132	9.23941	10.05	10.94	11.9284	13.0238	14.2408	15.5863	17.0783	18.7353	20.5741	22.6121	24.8709	27.3904	30.1736	33.2761	36.7054	40.5122	44.735	49.4094	54.5596	60.2678	66.5418	73.4059	80.9423	89.1197	97.9768	107.47	117.596	128.211	139.243	150.573	161.925	173.083	183.695	193.53	202.304	209.65	215.282	219.155	220.955	220.802	218.607	213.853	203.887	185.354	155.135	113.983	70.0818	55.3319
-54.2134	2.454	2.88112	4.09363	5.54149	7.0995	8.63737	10.0504	11.2787	12.498	13.8878	15.4856	17.3065	19.3764	21.7614	24.5062	27.649	31.2437	35.4086	40.1984	45.7061	52.0614	59.3942	67.8503	77.6231	88.8748	101.941	116.944	134.236	154.227	177.272	203.771	234.153	268.933	308.489	353.161	403.187	458.296	518.276	581.998	647.868	713.729	776.911	834.331	883.027	919.87	942.979	951.187	944.347	923.284	883.818	809.621	686.255	513.381	321.877	163.454	118.782
-42.6002	2.3652	2.76167	3.92659	5.3612	6.96703	8.61898	10.1742	11.5651	12.9742	14.6424	16.5955	18.8724	21.5498	24.7281	28.4743	32.927	38.2289	44.5578	52.1162	61.1711	72.0785	85.2519	101.137	120.339	143.581	171.735	205.894	247.323	297.556	358.582	432.618	522.259	630.809	762.054	920.238	1109.54	1334.28	1596.8	1897.23	2230.38	2585.52	2944.19	3281.7	3570.55	3785.27	3905.64	3923.16	3840.27	3669.47	3392.06	2925.04	2250.25	1464.36	773.075	325.086	209.485
-34.1639	2.25509	2.60218	3.64604	4.94186	6.41891	7.95211	9.44992	10.7948	12.216	13.8921	15.8676	18.2591	21.1388	24.5941	28.7772	33.8473	40.0644	47.6539	56.9969	68.5383	82.918	100.88	123.528	152.211	188.574	235.137	294.893	371.799	470.905	598.656	763.65	976.407	1250.51	1603.21	2055.62	2634.62	3373.3	4306.54	5466.7	6866.38	8480.25	10221.8	11940.5	13435.4	14509.6	15014.5	14903.1	14229.1	13124.1	11536.7	9180	6279.07	3515.48	1568.42	547.77	305.042
-28.0354	2.16468	2.46784	3.39481	4.53943	5.83987	7.20669	8.55549	9.79516	11.1213	12.7383	14.6645	17.0547	19.9515	23.5515	27.9155	33.2877	39.9039	48.0595	58.2341	70.9066	87.0492	107.68	134.208	168.981	214.882	276.108	358.609	470.895	624.638	836.492	1129.87	1536.83	2101.15	2881.33	3955.69	5427.8	7434.9	10159.4	13824.9	18651.2	24720.9	31798.8	39182.3	45746	50245.5	51817.4	50315	46291.6	40698.6	33570.5	24304.7	14653.4	7082.9	2691.12	784.84	381.734
-23.5835	2.09703	2.36673	3.20815	4.22542	5.36758	6.57391	7.76414	8.9418	10.1818	11.7402	13.6487	16.1315	19.1848	23.0506	27.8439	33.7419	40.9607	49.6677	60.577	74.1267	91.3723	113.585	142.685	181.445	233.841	305.793	405.95	547.78	751.219	1046.94	1481.97	2126.91	3089.58	4530.04	6679.09	9862.52	14525.7	21281	30983.8	44758.4	63582.7	87347.8	113713	137730	153333	156399	147055	128992	107065	82171.9	53824.7	28683.5	12093	3954.11	981.871	432.215
-20.3494	2.05173	2.29845	3.07396	3.99489	5.01334	6.09282	7.19815	8.23708	9.43682	10.9526	12.9703	15.5737	19.1734	23.6489	29.333	36.2197	44.378	54.0384	65.8523	80.3724	99.0406	123.102	154.705	197.705	256.549	339.287	457.05	628.384	882.418	1265.08	1852.92	2765.67	4208.78	6510.88	10214.5	16160.4	25610.8	40317.7	62590	95809.1	144248	210001	287776	360846	405691	406526	367128	304849	237711	169311	100593	47879.7	17858.7	5115.53	1114.94	461.813
-18	2.01918	2.254	2.9844	3.84456	4.76194	5.75076	6.74651	7.75962	8.89889	10.3744	12.5635	15.4531	19.6606	25.366	32.5484	40.7803	50.0003	60.8	73.4256	89.1764	109.315	135.525	170.428	218.019	284.551	379.134	516.829	721.417	1032.22	1513.75	2275.56	3498.41	5505.25	8848.64	14521.7	24277	41092.6	69772.1	115853	184818	289227	440070	630600	816948	925730	906920	782695	613522	449407	297906	161988	69892.6	23473.6	6031.87	1191.46	478.425
