lambda_nm	Fp	T	eta	Ploss
790	33.5331	3.82732	0.114136	29.7058
792	33.7523	3.82286	0.113262	29.9295
794	33.987	3.81813	0.112341	30.1689
796	34.2333	3.81313	0.111386	30.4202
798	34.4873	3.80788	0.110414	30.6794
800	34.7449	3.8024	0.109438	30.9425
802	35.0022	3.79671	0.108471	31.2055
804	35.2553	3.79085	0.107526	31.4645
806	35.5004	3.78483	0.106614	31.7156
808	35.7337	3.7787	0.105746	31.955
810	35.9519	3.77247	0.104931	32.1795
812	36.1517	3.76619	0.104177	32.3855
814	36.3302	3.75989	0.103492	32.5703
816	36.4847	3.7536	0.102881	32.7311
818	36.613	3.74735	0.10235	32.8657
820	36.7131	3.74119	0.101903	32.9719
822	36.7834	3.73514	0.101544	33.0483
824	36.8229	3.72924	0.101275	33.0936
826	36.8307	3.72352	0.101098	33.1072
828	36.8065	3.718	0.101015	33.0885
830	36.7504	3.71271	0.101025	33.0377
832	36.6629	3.70769	0.101129	32.9552
834	36.5448	3.70294	0.101326	32.8418
836	36.3973	3.69848	0.101614	32.6988
838	36.2221	3.69435	0.101992	32.5278
840	36.0211	3.69054	0.102455	32.3306
842	35.7966	3.68707	0.103001	32.1095
844	35.5511	3.68394	0.103624	31.8671
846	35.2874	3.68117	0.10432	31.6062
848	35.0084	3.67874	0.105082	31.3297
850	34.7176	3.67666	0.105902	31.0409
852	34.418	3.67493	0.106773	30.7431
854	34.1133	3.67352	0.107686	30.4398
856	33.807	3.67244	0.10863	30.1346
858	33.5026	3.67167	0.109593	29.831
860	33.2038	3.67118	0.110565	29.5326
862	32.914	3.67097	0.111532	29.243
864	32.6367	3.67101	0.112481	28.9656
866	32.3752	3.67128	0.113398	28.7039
868	32.1328	3.67175	0.114268	28.4611
870	31.9126	3.6724	0.115077	28.2402
872	31.7172	3.6732	0.115811	28.044
874	31.5494	3.67412	0.116456	27.8753
876	31.4115	3.67513	0.116999	27.7364
878	31.3056	3.6762	0.11743	27.6294
880	31.2334	3.6773	0.117736	27.5561
882	31.1964	3.67841	0.117911	27.518
884	31.1958	3.67949	0.117948	27.5164
886	31.2325	3.68051	0.117842	27.552
888	31.3069	3.68145	0.117592	27.6254
890	31.4192	3.68228	0.117199	27.7369
892	31.5692	3.68298	0.116664	27.8862
894	31.7564	3.68351	0.115993	28.0729
896	31.98	3.68386	0.115192	28.2962
898	32.2389	3.684	0.114272	28.5549
900	32.5316	3.68392	0.113241	28.8477
