x_nm	-77.5	-74.9054	-59.2474	-47.8784	-39.6236	-33.6299	-29.278	-26.1182	-23.8239	-21.874	-19.9241	-17.9742	-16.0242	-14.0743	-12.1244	-10.1745	-8.22456	-6.27464	-4.32472	-2.3748	-0.42488	1.52504	3.47496	5.42488	7.3748	9.32472	11.2746	13.2246	15.1745	17.1244	19.0743	21.0242	22.9742	24.9241	26.874	28.8239	31.103	34.2356	38.5413	44.4594	52.5938	63.7743	79.1417	82.5
-13.9198	1016.63	1166.12	3064.14	7280.71	15423.2	28937	48195.9	71993.3	97914.4	128355	169282	223871	294762	381958	482614	619990	191744	55048.1	190095	230840	175360	124438	213347	335159	547733	1.06555e+06	1.16577e+06	1.2209e+06	1.28163e+06	1.40278e+06	1.68496e+06	2.14333e+06	2.58344e+06	2.72152e+06	2.51408e+06	2.10822e+06	1.57765e+06	974944	484909	195589	65549.8	18935.8	4955.38	3901.68
-11.9313	1044.5	1200.74	3201.62	7751.55	16789	32281.2	55156	84448.1	117453	157493	213140	289590	389570	500657	562401	107715	50229.4	74221.4	125075	170629	187894	208044	278274	394577	650604	476794	984392	3.15896e+06	1.90598e+06	2.07124e+06	2.8079e+06	4.22081e+06	5.66606e+06	5.96014e+06	5.18528e+06	4.01902e+06	2.74041e+06	1.52169e+06	682263	250709	77552.3	21039.6	5269.79	4119.11
-9.94273	1068.69	1230.8	3325.75	8186.82	18090.6	35588.3	62305.3	97757.5	139120	191053	266207	374276	521348	678743	116986	52794.7	67824	91502.1	126712	169433	214430	273797	370343	514799	699056	793346	3.93601e+06	4.61012e+06	4.94153e+06	2.77464e+06	4.98233e+06	9.67515e+06	1.51949e+07	1.52304e+07	1.1819e+07	8.13244e+06	4.90513e+06	2.40217e+06	959792	318601	90635.1	23121.8	5561.63	4319.2
-7.95418	1089.34	1256.56	3432.21	8571.46	19274.1	38695.7	69292.2	111284	162006	227940	326913	475866	701937	201942	51610	64613.4	80304.8	103810	137680	184157	247312	340196	488132	730256	1.13754e+06	1.89183e+06	4.16086e+06	1.13137e+07	2.55259e+06	4.89112e+06	1.62243e+07	2.99737e+07	5.60786e+07	4.74935e+07	3.01026e+07	1.74485e+07	9.01555e+06	3.82012e+06	1.34105e+06	398587	104171	25084	5820.27	4494.87
-5.96564	1105.98	1277.36	3519.24	8887.26	20275	41415.8	75633.5	124085	184620	266130	390612	555576	645223	28160.5	53334.7	70828.6	88871.9	113990	150456	203856	284122	411531	626431	1.00829e+06	1.71903e+06	3.07937e+06	5.60261e+06	1.15718e+07	5.03799e+07	5.35958e+07	1.75861e+08	1.5082e+08	3.25911e+08	1.85516e+08	8.5563e+07	3.9467e+07	1.69262e+07	6.06216e+06	1.83706e+06	485952	117113	26802.2	6034.73	4639.75
-3.97709	1117.89	1292.23	3583.24	9126.49	21043.1	43548	80754.8	134865	204941	306232	494935	968678	286934	130972	77181.7	79852.6	95975.6	122266	162012	222715	318903	480001	768390	1.32515e+06	2.50228e+06	5.30926e+06	1.33388e+07	4.46443e+07	1.29281e+08	7.4514e+08	3.24108e+09	1.32215e+09	3.22415e+09	8.85802e+08	2.68148e+08	9.34128e+07	3.19991e+07	9.36226e+06	2.41144e+06	569795	128064	28148.2	6196.04	4748.2
-1.98855	1125.17	1301.39	3622.07	9273.94	21525.6	44910.8	84064.7	141629	216184	319723	482361	715542	237771	56153.9	65074.8	79872.3	99187.4	127399	169952	236187	344059	530524	876906	1.57647e+06	3.13039e+06	6.95332e+06	1.72478e+07	4.56416e+07	7.33733e+08	7.06189e+09	7.59202e+10	1.94684e+10	5.20516e+10	4.85378e+09	9.34223e+08	2.25427e+08	5.75087e+07	1.32835e+07	2.92904e+06	632873	135482	29010.1	6296.3	4815.26
-4.05319e-14	1127.74	1304.62	3635.32	9323.19	21689	45373.6	85187.2	143820	218904	318157	444650	470882	110950	6906.84	50779	77137.3	99605.9	129029	172748	241066	353269	549255	917940	1.67436e+06	3.38975e+06	7.75525e+06	2.059e+07	6.87855e+07	4.50294e+09	8.73795e+10	1.90365e+10	2.94351e+11	2.19769e+06	5.02448e+10	3.52162e+09	4.54627e+08	8.14644e+07	1.55715e+07	3.15515e+06	656774	138124	29306.7	6329.9	4838.01
1.98855	1125.14	1301.32	3622.3	9274.17	21525.8	44912.2	84061.6	141628	216178	319720	482370	715534	237768	56154.7	65075.2	79872.3	99187.6	127397	169951	236184	344055	530521	876899	1.57646e+06	3.13039e+06	6.9533e+06	1.72478e+07	4.56416e+07	7.33734e+08	7.06189e+09	7.59202e+10	1.94684e+10	5.20516e+10	4.85377e+09	9.34224e+08	2.25427e+08	5.75087e+07	1.32836e+07	2.92904e+06	632872	135480	29009.5	6296.64	4815.42
3.97709	1117.89	1292.23	3583.2	9126.36	21042.5	43546.3	80755.3	134862	204943	306236	494929	968686	286950	130968	77180.2	79852.8	95975.9	122267	162015	222715	318906	480001	768391	1.32514e+06	2.50228e+06	5.30926e+06	1.33388e+07	4.46442e+07	1.2928e+08	7.4514e+08	3.24107e+09	1.32214e+09	3.22415e+09	8.85801e+08	2.68148e+08	9.3413e+07	3.19991e+07	9.36227e+06	2.41144e+06	569798	128065	28148.1	6195.86	4748.1
5.96564	1105.94	1277.32	3519.24	8887.7	20276.1	41416.5	75632.2	124082	184611	266121	390617	555570	645216	28160.6	53337.9	70830.5	88872.8	113989	150457	203855	284116	411527	626436	1.00829e+06	1.71904e+06	3.07938e+06	5.60263e+06	1.15718e+07	5.038e+07	5.35957e+07	1.75861e+08	1.5082e+08	3.25911e+08	1.85516e+08	8.55631e+07	3.94671e+07	1.69261e+07	6.06219e+06	1.83707e+06	485947	117113	26802.2	6034.79	4639.79
7.95418	1089.45	1256.69	3432.17	8570.62	19273.1	38695.8	69294.1	111290	162011	227943	326915	475864	701940	201941	51609.4	64614.2	80303.7	103808	137680	184153	247309	340194	488131	730249	1.13754e+06	1.89183e+06	4.16084e+06	1.13137e+07	2.55257e+06	4.8911e+06	1.62242e+07	2.99737e+07	5.60785e+07	4.74936e+07	3.01026e+07	1.74485e+07	9.01555e+06	3.82012e+06	1.34105e+06	398586	104172	25084.3	5820.4	4494.92
9.94273	1068.71	1230.84	3325.57	8187.38	18091.4	35587.6	62306.3	97757.3	139117	191056	266214	374278	521350	678742	116991	52794	67825.1	91502.3	126711	169434	214432	273796	370344	514796	699055	793351	3.93601e+06	4.61014e+06	4.94154e+06	2.77462e+06	4.98234e+06	9.67522e+06	1.51948e+07	1.52304e+07	1.1819e+07	8.13245e+06	4.90514e+06	2.40217e+06	959791	318604	90636.7	23121.6	5561.53	4319.21
11.9313	1044.47	1200.68	3201.87	7751.69	16789.2	32282.8	55155.2	84445.2	117450	157492	213136	289593	389570	500656	562420	107712	50229.1	74222.8	125076	170629	187893	208047	278279	394575	650609	476798	984387	3.15897e+06	1.90599e+06	2.07124e+06	2.8079e+06	4.22079e+06	5.66602e+06	5.96021e+06	5.18523e+06	4.01901e+06	2.74041e+06	1.52168e+06	682262	250710	77552.7	21039.6	5269.98	4119.16
13.9198	1016.62	1166.12	3064.34	7281.2	15423.2	28937.6	48196.7	71989.9	97908	128351	169284	223875	294759	381962	482632	619979	191743	55045.9	190094	230836	175358	124436	213346	335154	547731	1.06555e+06	1.16577e+06	1.22089e+06	1.28161e+06	1.40278e+06	1.68494e+06	2.14335e+06	2.58343e+06	2.72152e+06	2.51411e+06	2.10819e+06	1.57765e+06	974934	484903	195591	65550.6	18934.9	4955.37	3901.75
15.9084	986.066	1128.37	2916.03	6788.78	14043.7	25680.6	41678.8	60744.9	80854.1	103791	133768	172770	222913	286726	369062	484885	648337	558431	309093	599077	389113	144854	138387	699460	1.32152e+06	865295	817348	804421	831118	894835	1.014e+06	1.18103e+06	1.33367e+06	1.39059e+06	1.32512e+06	1.16956e+06	937577	633246	345729	151964	54935.6	16890.2	4627.96	3672.84
17.8969	953.06	1087.71	2760.89	6288.11	12688.5	22596.6	35729.3	50852	66306.2	83457.9	105319	133043	168024	212097	268320	342203	435320	515057	979477	838757	504422	492142	836193	901221	678784	571866	535419	522086	531994	563976	618128	686440	746313	770667	746951	682032	575103	417635	247740	117916	45777	14959.3	4296.28	3438.48
19.8855	918.057	1044.77	2601.32	5789.32	11384.9	19743.1	30424.5	42303.1	54096.6	66848	82700.9	102304	126432	155996	192327	236997	290403	350794	457322	463303	408826	405737	457660	449446	402904	365913	345706	337552	341935	358247	384475	415526	442020	453565	444298	415302	363586	279944	178626	91529.3	38006.1	13175.3	3968.04	3203.61
21.874	881.664	1000.29	2440.84	5303.29	10158.9	17148.8	25763.4	35030.8	43973.5	53409.8	64859.4	78671.9	95201.8	114844	137980	164888	195296	228275	264613	279075	275032	274614	279136	269505	251582	235208	224426	219908	222211	230911	244525	260122	273344	279621	276066	262502	236448	190823	129716	71153.2	31488.4	11553.6	3647.75	2971.7
23.8625	844.384	954.943	2281	4834.64	9018.79	14825.1	21728.3	28910.3	35658.6	42614.9	50865.2	60575.3	71882.2	84909.3	99668.3	116050	133586	151369	167740	177213	179708	179650	177650	171019	161906	153416	147495	145001	146355	151313	158935	167587	175016	178982	177909	171418	157860	132298	94942.9	55431	26058	10098.9	3341.35	2746.71
26.1855	799.896	901.18	2097.92	4318.39	7808.1	12446.9	17736.7	23044.5	27883	32736.3	38360.8	44795.4	52071.6	60169.3	69005.1	78357.4	87851.4	96872.6	104490	109369	111253	110906	108675	104614	99732.2	95252.2	92089.4	90808.9	91634	94436.5	98695.8	103532	107826	110466	110597	107906	101415	88058.7	66673.4	41570.1	20884.6	8605.31	3003.52	2495.05
29.3779	738.572	827.47	1857.2	3669.47	6358.42	9729.64	13368.8	16851.9	19902.5	22872.1	26199.2	29874	33887.5	38166.1	42621	47089.7	51348	55118.5	58053.6	59851.1	60399.6	59808.3	58285.5	56104.2	53695.9	51553.2	50072.5	49515.8	49993.6	51434	53591	56074.1	58392.1	60052.2	60660.8	60023.6	57666.3	52044.6	41864.3	28247.3	15435.3	6884.72	2580.03	2173.57
33.7651	655.871	729.094	1554.17	2902.59	4752.15	6898.28	9056.55	11001.3	12624.2	14141.7	15775.4	17509.8	19313	21145	22937.6	24626.3	26107.6	27292.8	28086.5	28424.5	28298.8	27749.8	26872	25811.2	24732.6	23816.2	23208.1	23006.5	23254.2	23920.9	24909.7	26068.3	27217.4	28166.6	28762.9	28898.2	28423.4	26711.4	22930.7	16937.9	10258.1	5058.13	2078.86	1783.43
39.7942	549.543	604.393	1199.43	2078.17	3163.71	4303	5350.83	6228.99	6917.46	7530.84	8160.42	8793.14	9412.01	9997.51	10527	10973.7	11311.7	11520.1	11581.8	11490.8	11259.6	10910.4	10482.6	10027.6	9601.67	9257.12	9040.59	8982.22	9093.11	9362.39	9761.18	10239.8	10742	11209	11586.4	11832.8	11921.9	11671	10710.3	8724.58	5958.67	3324.77	1535.03	1345.99
48.0798	423.473	459.35	828.948	1305.6	1819.67	2295.02	2686.2	2984.36	3201.26	3380.6	3553.22	3712.4	3853.5	3969.97	4057.19	4108.55	4120.96	4092.76	4022.34	3914.78	3775.31	3614.82	3446.05	3282.28	3139.46	3029.91	2965.31	2952.47	2993.71	3086.94	3223.51	3391.76	3577.18	3765.11	3939.73	4088.16	4215.71	4292.32	4202.21	3780.06	2946.04	1902.87	1012.92	909.474
59.4663	291.998	311.696	499.651	702.928	887	1031.26	1133.13	1200.24	1243.25	1274.01	1299.62	1317.85	1328.17	1330.01	1322.06	1304.48	1277.56	1241.32	1197.35	1147.39	1093.49	1038.81	985.884	938.337	898.927	870.391	854.492	852.919	865.886	892.653	931.659	981.017	1037.34	1097.71	1158.96	1217.71	1279.51	1346.57	1395.2	1375.34	1223.9	929.591	584.919	537.311
75.1143	177.453	186.429	261.244	325.634	371.521	399.327	413.81	420.102	422.194	421.938	419.818	415.718	409.821	401.77	391.949	380.384	367.418	353.235	338.415	323.196	308.233	294.026	281.087	270.035	261.22	255.199	252.232	252.434	255.789	262.282	271.653	283.574	297.641	313.116	329.709	346.638	366.227	391.476	419.871	442.408	440.053	390.779	294.64	276.36
80	154.855	162.109	218.441	262.227	290.021	304.702	310.926	312.525	312.135	310.569	307.943	304.235	299.596	293.832	287.206	279.854	271.876	263.433	254.875	246.319	238.105	230.443	223.626	217.948	213.545	210.713	209.547	210.094	212.329	216.23	221.692	228.528	236.556	245.415	254.961	264.752	276.299	291.569	309.657	326.166	330.029	304.885	243.035	229.52
